,analysis,auc,auc_std,case,control,disease,disease_type,features,label,model_nonzero_coef,number_labels,samples,significant,study,test_size,train_size
0,plasmaall_author,0.9929365079365079,0.007752631848571908,59,43,coronary heart disease,cardiovascular,109,a0,15,2,102,109,Feng,33,69
1,urineall_author,0.9469047619047619,0.04995349311032114,59,43,coronary heart disease,cardiovascular,160,a1,25,2,102,160,Feng,33,69
2,serum_IPO_aligned_Feng_serum_batch1,1.0,0.0,21,20,coronary heart disease,cardiovascular,5529,a2,7,2,41,1634,Feng,13,28
3,serum_IPO_aligned_Feng_serum_batch2,0.996031746031746,0.005611958580845596,38,23,coronary heart disease,cardiovascular,4939,a3,21,2,61,1138,Feng,19,42
4,urine_IPO_aligned_Feng_urine_batch1,0.9857142857142858,0.020203050891044246,28,21,coronary heart disease,cardiovascular,11102,a4,105,2,49,1684,Feng,16,33
5,urine_IPO_aligned_Feng_urine_batch2,0.8831168831168831,0.014958573630451086,31,22,coronary heart disease,cardiovascular,11884,a5,544,2,53,2351,Feng,17,36
6,serum_onebatch_IPO_align_Feng_serum_all,1.0,0.0,59,43,coronary heart disease,cardiovascular,5040,a6,26,2,102,1329,Feng,33,69
7,urine_onebatch_IPO_aligned_Feng_urine_all,0.9151670843776106,0.03363986844573122,59,43,coronary heart disease,cardiovascular,11934,a7,22,2,102,2716,Feng,33,69
8,IPO_aligned_MTBLS105_qMS,0.4948017668605904,0.014684902394053762,40,49,Hepatocellular carcinoma,cancer,1176,b0,412,2,89,0,MTBLS105,29,60
9,IPO_aligned_MTBLS105_SIM-MS,0.8254147812971343,0.04363968705634789,40,49,Hepatocellular carcinoma,cancer,855,b1,24,2,89,3,MTBLS105,29,60
10,IPO_aligned_MTBLS17_neg_exp1,0.6527743778049776,0.05745805880163701,59,129,hepatocellular carcinoma,cancer,12445,c0,74,2,188,634,MTBLS17,62,126
11,IPO_aligned_MTBLS17_neg_exp2,0.5392156862745098,0.051356081779250204,14,50,hepatocellular carcinoma,cancer,15547,c1,0,2,64,0,MTBLS17,20,44
12,IPO_aligned_MTBLS17_neg_exp3,0.5833333333333334,0.31180478223116176,5,5,hepatocellular carcinoma,cancer,422,c2,82,2,10,0,MTBLS17,2,8
13,IPO_aligned_MTBLS17_pos_exp1,0.6077519379844962,0.021843415199388174,60,129,hepatocellular carcinoma,cancer,17998,c3,3298,2,189,67,MTBLS17,63,126
14,IPO_aligned_MTBLS17_pos_exp2,0.5260416666666666,0.036828478186799345,13,50,hepatocellular carcinoma,cancer,33205,c4,47,2,63,0,MTBLS17,20,43
15,IPO_aligned_MTBLS17_pos_exp3,0.8333333333333334,0.23570226039551584,5,5,hepatocellular carcinoma,cancer,4299,c5,197,2,10,0,MTBLS17,2,8
16,IPO_aligned_MTBLS17_neg_onebatch,0.6754532264844268,0.04454579495431972,78,184,hepatocellular carcinoma,cancer,13652,c6,356,2,262,263,MTBLS17,87,175
17,IPO_aligned_MTBLS17_pos_onebatch,0.677890547668443,0.0570781986906304,78,184,hepatocellular carcinoma,cancer,20768,c7,103,2,262,323,MTBLS17,87,175
18,Peaklist_EXP1_POS,0.6205426356589148,0.01079720021487136,60,129,hepatocellular carcinoma,cancer,1586,c8,51,2,189,31,MTBLS17,63,126
19,Peaklist_EXP2_POS,0.5191176470588236,0.1262024060369058,13,50,hepatocellular carcinoma,cancer,3230,c9,149,2,63,0,MTBLS17,20,43
20,Peaklist_EXP3_POS,1.0,0.0,5,5,hepatocellular carcinoma,cancer,612,c10,82,2,10,0,MTBLS17,2,8
21,Peaklist_EXP1_NEG,0.6068339453284374,0.024422839337810958,59,129,hepatocellular carcinoma,cancer,941,c11,583,2,188,159,MTBLS17,62,126
22,Peaklist_EXP2_NEG,0.5316789215686275,0.023356602182947904,13,50,hepatocellular carcinoma,cancer,1209,c12,15,2,63,0,MTBLS17,20,43
23,Peaklist_EXP3_NEG,0.6666666666666666,0.4714045207910317,5,5,hepatocellular carcinoma,cancer,391,c13,4,2,10,0,MTBLS17,2,8
24,Exp1F_POS,0.6372354497354498,0.1874454606531317,20,25,hepatocellular carcinoma,cancer,1526,d0,45,2,45,2,MTBLS19,14,31
25,Exp1R_POS,0.6742724867724869,0.06467124526748105,20,25,hepatocellular carcinoma,cancer,1461,d1,15,2,45,2,MTBLS19,14,31
26,Exp2F_POS,0.7308201058201057,0.11158644232874809,20,25,hepatocellular carcinoma,cancer,1542,d2,25,2,45,12,MTBLS19,14,31
27,Exp2R_POS,0.7285052910052908,0.03613738699437338,20,25,hepatocellular carcinoma,cancer,1455,d3,427,2,45,0,MTBLS19,14,31
28,Exp1F_NEG,0.7738095238095237,0.10547645920636517,20,25,hepatocellular carcinoma,cancer,883,d4,13,2,45,2,MTBLS19,14,31
29,Exp1R_NEG,0.6858465608465609,0.08572918578442522,20,25,hepatocellular carcinoma,cancer,827,d5,6,2,45,2,MTBLS19,14,31
30,Exp2F_NEG,0.7840608465608465,0.05190640351971467,20,25,hepatocellular carcinoma,cancer,825,d6,14,2,45,11,MTBLS19,14,31
31,Exp2R_NEG,0.6765873015873017,0.014029896452114015,20,25,hepatocellular carcinoma,cancer,760,d7,301,2,45,0,MTBLS19,14,31
32,IPO_aligned_MTBLS19_neg_exp1_F,0.7337962962962964,0.04709486999414486,20,25,hepatocellular carcinoma,cancer,4843,d8,32,2,45,4,MTBLS19,14,31
33,IPO_aligned_MTBLS19_neg_exp1_R,0.7410714285714285,0.07122159164999038,20,25,hepatocellular carcinoma,cancer,4843,d9,585,2,45,4,MTBLS19,14,31
34,IPO_aligned_MTBLS19_neg_exp2_F,0.8422619047619048,0.11852564137940402,20,25,hepatocellular carcinoma,cancer,4414,d10,559,2,45,0,MTBLS19,14,31
35,IPO_aligned_MTBLS19_neg_exp2_R,0.7437169312169312,0.18206519979240574,20,25,hepatocellular carcinoma,cancer,4414,d11,196,2,45,1,MTBLS19,14,31
36,IPO_aligned_MTBLS19_pos_exp1_F,0.7701719576719577,0.09656650885768317,20,25,hepatocellular carcinoma,cancer,7931,d12,15,2,45,2,MTBLS19,14,31
37,IPO_aligned_MTBLS19_pos_exp1_R,0.7628968253968255,0.03404960774152878,20,25,hepatocellular carcinoma,cancer,7931,d13,15,2,45,1,MTBLS19,14,31
38,IPO_aligned_MTBLS19_pos_exp2_F,0.9341931216931217,0.0039957162611093016,20,25,hepatocellular carcinoma,cancer,8753,d14,115,2,45,21,MTBLS19,14,31
39,IPO_aligned_MTBLS19_pos_exp2_R,0.6392195767195767,0.07871065062044674,20,25,hepatocellular carcinoma,cancer,8753,d15,85,2,45,2,MTBLS19,14,31
40,IPO_aligned_MTBLS19_neg_all_F_R,0.838383430295195,0.0753413724697797,40,50,hepatocellular carcinoma,cancer,5163,d16,565,2,90,211,MTBLS19,29,61
41,IPO_aligned_MTBLS19_neg_all_R_R,0.7072290454643396,0.03170067288054438,40,50,hepatocellular carcinoma,cancer,5163,d17,34,2,90,133,MTBLS19,29,61
42,IPO_aligned_MTBLS19_pos_all_F_R,0.7831959706959708,0.03831153012263291,40,50,hepatocellular carcinoma,cancer,8623,d18,113,2,90,167,MTBLS19,29,61
43,IPO_aligned_MTBLS19_pos_all_R_R,0.7337858220211161,0.07916037811009122,40,50,hepatocellular carcinoma,cancer,8623,d19,1299,2,90,112,MTBLS19,29,61
44,m_oxylipin_chronic_hep_b,0.6562754877972269,0.08304080973804308,67,19,chronic hepatitis B,infectious,35,e0,19,2,86,1,MTBLS253,28,58
45,m_mtbls266_NEG_mass_spectrometry_v2_maf,0.6266666666666668,0.06798692684790388,15,15,Age related metabolomics,other,55,f0,2,2,30,0,MTBLS266,10,20
46,m_mtbls266_POS_mass_spectrometry_v2_maf,0.96,0.032659863237109024,15,15,Age related metabolomics,other,81,f1,33,2,30,4,MTBLS266,10,20
47,IPO_aligned_MTBLS266_neg,0.88,0.11775681155103798,15,15,Age related metabolomics,other,15961,f2,546,2,30,158,MTBLS266,10,20
48,IPO_aligned_MTBLS266_pos,0.9333333333333332,0.06798692684790376,15,15,Age related metabolomics,other,21030,f3,624,2,30,0,MTBLS266,10,20
49,m_chronic_hep_b_POS,0.945479641131815,0.06711680423141038,69,19,chronic hepatitis B,infectious,140,g0,8,2,88,40,MTBLS279,29,59
