,analysis,auc,auc_std,case,control,disease,disease_type,features,label,model_nonzero_coef,number_labels,samples,significant,study,test_size,train_size
0,plasmaall_author,0.9987468671679198,0.0017721974465827865,59,43,coronary heart disease,cardiovascular,109,a0,15,2,102,109,Feng,33,69
1,urineall_author,0.9566416040100251,0.009392646466888999,59,43,coronary heart disease,cardiovascular,160,a1,64,2,102,160,Feng,33,69
2,serum_IPO_aligned_Feng_serum_batch1,1.0,0.0,21,20,coronary heart disease,cardiovascular,5529,a2,46,2,41,1634,Feng,13,28
3,serum_IPO_aligned_Feng_serum_batch2,1.0,0.0,38,23,coronary heart disease,cardiovascular,4939,a3,16,2,61,1138,Feng,19,42
4,urine_IPO_aligned_Feng_urine_batch1,0.9735449735449735,0.03741305720563746,28,21,coronary heart disease,cardiovascular,11102,a4,36,2,49,1684,Feng,16,33
5,urine_IPO_aligned_Feng_urine_batch2,0.9761904761904763,0.033671751485073675,31,22,coronary heart disease,cardiovascular,11884,a5,988,2,53,2351,Feng,17,36
6,serum_onebatch_IPO_align_Feng_serum_all,0.9988888888888888,0.0015713484026367562,59,43,coronary heart disease,cardiovascular,5040,a6,22,2,102,1329,Feng,33,69
7,urine_onebatch_IPO_aligned_Feng_urine_all,0.987736006683375,0.010057098632093782,59,43,coronary heart disease,cardiovascular,11934,a7,346,2,102,2716,Feng,33,69
8,IPO_aligned_MTBLS105_qMS,0.6145361990950226,0.01005716973015961,40,49,Hepatocellular carcinoma,cancer,1176,b0,594,2,89,0,MTBLS105,29,60
9,IPO_aligned_MTBLS105_SIM-MS,0.7731631113984055,0.06820954689736844,40,49,Hepatocellular carcinoma,cancer,855,b1,40,2,89,3,MTBLS105,29,60
10,IPO_aligned_MTBLS17_neg_exp1,0.6547735618115055,0.005851091418998375,59,129,hepatocellular carcinoma,cancer,12445,c0,967,2,188,633,MTBLS17,62,126
11,IPO_aligned_MTBLS17_neg_exp2,0.5626838235294118,0.15889010893421915,14,50,hepatocellular carcinoma,cancer,15547,c1,18,2,64,0,MTBLS17,20,44
12,IPO_aligned_MTBLS17_neg_exp3,0.75,0.2041241452319315,5,5,hepatocellular carcinoma,cancer,422,c2,25,2,10,0,MTBLS17,2,8
13,IPO_aligned_MTBLS17_pos_exp1,0.6453488372093023,0.06309858480475386,60,129,hepatocellular carcinoma,cancer,17998,c3,1072,2,189,60,MTBLS17,63,126
14,IPO_aligned_MTBLS17_pos_exp2,0.5411764705882353,0.10267472518891013,13,50,hepatocellular carcinoma,cancer,33205,c4,0,2,63,0,MTBLS17,20,43
15,IPO_aligned_MTBLS17_pos_exp3,0.8333333333333334,0.23570226039551584,5,5,hepatocellular carcinoma,cancer,4299,c5,124,2,10,0,MTBLS17,2,8
16,IPO_aligned_MTBLS17_neg_onebatch,0.6974942033112314,0.034312649153579705,78,184,hepatocellular carcinoma,cancer,13652,c6,981,2,262,261,MTBLS17,87,175
17,IPO_aligned_MTBLS17_pos_onebatch,0.7248301671887076,0.06057681675140635,78,184,hepatocellular carcinoma,cancer,20768,c7,325,2,262,344,MTBLS17,87,175
