,analysis,auc,auc_std,case,control,disease,disease_type,features,label,model_nonzero_coef,number_labels,samples,significant,study,test_size,train_size
0,plasmaall_author,0.9966666666666667,0.004714045207910321,59,43,coronary heart disease,cardiovascular,109,a0,19,2,102,108,Feng,33,69
1,urineall_author,0.9903508771929825,0.008876922680914726,59,43,coronary heart disease,cardiovascular,160,a1,160,2,102,160,Feng,33,69
2,serum_IPO_aligned_Feng_serum_batch1,1.0,0.0,21,20,coronary heart disease,cardiovascular,5529,a2,222,2,41,1587,Feng,13,28
3,serum_IPO_aligned_Feng_serum_batch2,1.0,0.0,38,23,coronary heart disease,cardiovascular,4939,a3,51,2,61,1110,Feng,19,42
4,urine_IPO_aligned_Feng_urine_batch1,1.0,0.0,28,21,coronary heart disease,cardiovascular,11102,a4,50,2,49,1440,Feng,16,33
5,urine_IPO_aligned_Feng_urine_batch2,0.9714285714285714,0.04040610178208844,31,22,coronary heart disease,cardiovascular,11884,a5,69,2,53,2128,Feng,17,36
6,serum_onebatch_IPO_align_Feng_serum_all,0.9988095238095238,0.0016835875742536785,59,43,coronary heart disease,cardiovascular,5040,a6,40,2,102,1523,Feng,33,69
7,urine_onebatch_IPO_aligned_Feng_urine_all,0.9761904761904763,0.033671751485073675,59,43,coronary heart disease,cardiovascular,11934,a7,257,2,102,2564,Feng,33,69
8,IPO_aligned_MTBLS105_qMS,0.6620609782374488,0.11815379513928972,40,49,Hepatocellular carcinoma,cancer,1176,b0,1175,2,89,0,MTBLS105,29,60
9,IPO_aligned_MTBLS105_SIM-MS,0.8646304675716441,0.06404542302834211,40,49,Hepatocellular carcinoma,cancer,855,b1,33,2,89,7,MTBLS105,29,60
10,IPO_aligned_MTBLS17_neg_exp1,0.6822317421460627,0.01679472859963529,59,129,hepatocellular carcinoma,cancer,12445,c0,394,2,188,615,MTBLS17,62,126
11,IPO_aligned_MTBLS17_neg_exp2,0.5525735294117647,0.1693803905282478,13,50,hepatocellular carcinoma,cancer,15547,c1,489,2,63,0,MTBLS17,20,43
12,IPO_aligned_MTBLS17_neg_exp3,0.75,0.2041241452319315,5,5,hepatocellular carcinoma,cancer,422,c2,4,2,10,0,MTBLS17,2,8
13,IPO_aligned_MTBLS17_pos_exp1,0.7152590779273765,0.06637075538701775,59,129,hepatocellular carcinoma,cancer,17998,c3,13606,2,188,107,MTBLS17,62,126
