Accession,analysis,disease_type
MTBLS105,reprocessed_IPO_aligned_MTBLS105_qMS,cancer
MTBLS17,reprocessed_IPO_aligned_MTBLS17_neg_exp1,cancer
MTBLS17,reprocessed_IPO_aligned_MTBLS17_neg_exp2,cancer
MTBLS17,reprocessed_IPO_aligned_MTBLS17_neg_exp3,cancer
MTBLS17,reprocessed_IPO_aligned_MTBLS17_neg_onebatch,cancer
MTBLS17,author_Peaklist_EXP1_POS,cancer
MTBLS17,author_Peaklist_EXP2_POS,cancer
MTBLS17,author_Peaklist_EXP3_POS,cancer
MTBLS19,author_Exp1F_POS,cancer
MTBLS19,author_Exp2F_POS,cancer
MTBLS19,reprocessed_IPO_aligned_MTBLS19_neg_exp1_F,cancer
MTBLS19,reprocessed_IPO_aligned_MTBLS19_neg_exp2_F,cancer
MTBLS19,reprocessed_IPO_aligned_MTBLS19_neg_all_F_R,cancer
MTBLS266,author_m_mtbls266_NEG_mass_spectrometry_v2_maf,other
MTBLS266,reprocessed_IPO_aligned_MTBLS266_neg,other
MTBLS279,author_m_chronic_hep_b_POS,infectious
MTBLS28,author_m_mtbls28_NEG_v2_maf,cancer
MTBLS28,reprocessed_IPO_aligned_MTBLS28_neg,cancer
MTBLS315,author_m_GC_nmfi_and_bsi_diagnosis_v2_maf,infectious
MTBLS315,reprocessed_IPO_aligned_MTBLS315_mzData,infectious
MTBLS352,author_DEMO_neg-norm-metaboAnalystInput_T2D_NGT,metabolic
MTBLS352,author_DEMO_neg-norm-metaboAnalystInput_T2D_Pre-DM,metabolic
MTBLS352,author_DEMO_neg-norm-metaboAnalystInput_NGT_Pre-DM,metabolic
MTBLS352,author_DEMO_neg-norm-metaboAnalystInput_0_NGT,metabolic
MTBLS352,author_DEMO_neg-norm-metaboAnalystInput_2_Pre-DM,metabolic
MTBLS352,author_DEMO_neg-norm-metaboAnalystInput_1_T2D,metabolic
MTBLS354,author_m_cap_metabolite_profiling_mass_spectrometry_v2_maf,infectious
MTBLS354,reprocessed_IPO_aligned_MTBLS354_neg,infectious
MTBLS358,author_m_CER_mass_spectrometry_v4_COPD_FS,respiratory
MTBLS358,author_m_CER_mass_spectrometry_v4_COPD_CS,respiratory
MTBLS358,author_m_CER_mass_spectrometry_v4_COPD_NS,respiratory
MTBLS358,author_m_CER_mass_spectrometry_v4_FS_CS,respiratory
MTBLS358,author_m_CER_mass_spectrometry_v4_FS_NS,respiratory
MTBLS358,author_m_CER_mass_spectrometry_v4_CS_NS,respiratory
MTBLS358,author_m_CER_mass_spectrometry_v4_3_CS,respiratory
MTBLS358,author_m_CER_mass_spectrometry_v4_0_NS,respiratory
MTBLS358,author_m_CER_mass_spectrometry_v4_2_FS,respiratory
MTBLS358,author_m_CER_mass_spectrometry_v4_1_COPD,respiratory
MTBLS364,reprocessed_IPO_aligned_MTBLS364_hil_neg,other
MTBLS408,reprocessed_IPO_aligned_MTBLS408_neg,autoimmune
MTBLS72,reprocessed_IPO_aligned_MTBLS72_neg,neurological
ST000045,author_02Feb10-21-r0_ND_II,metabolic
ST000045,author_02Feb10-21-r0_ND_IW,metabolic
ST000045,author_02Feb10-21-r0_II_IW,metabolic
ST000045,author_02Feb10-21-r0_1_II,metabolic
ST000045,author_02Feb10-21-r0_0_ND,metabolic
ST000045,author_02Feb10-21-r0_2_IW,metabolic
ST000045,reprocessed_IPO_aligned_ST000045_2feb_pos_ND_II,metabolic
ST000045,reprocessed_IPO_aligned_ST000045_2feb_pos_ND_IW,metabolic
ST000045,reprocessed_IPO_aligned_ST000045_2feb_pos_II_IW,metabolic
ST000045,reprocessed_IPO_aligned_ST000045_2feb_pos_1_II,metabolic
ST000045,reprocessed_IPO_aligned_ST000045_2feb_pos_0_ND,metabolic
ST000045,reprocessed_IPO_aligned_ST000045_2feb_pos_2_IW,metabolic
ST000046,author_AN000076_CN_MCI,neurological
ST000046,author_AN000076_CN_AD,neurological
ST000046,author_AN000076_MCI_AD,neurological
ST000046,reprocessed_IPO_aligned_ST000046_20120606_neg_hilic_CN_MCI,neurological
ST000046,reprocessed_IPO_aligned_ST000046_20120606_neg_hilic_CN_AD,neurological
ST000046,reprocessed_IPO_aligned_ST000046_20120606_neg_hilic_MCI_AD,neurological
ST000046,reprocessed_IPO_aligned_ST000046_20120613_neg_hilic_CN_MCI,neurological
ST000046,reprocessed_IPO_aligned_ST000046_20120613_neg_hilic_CN_AD,neurological
ST000046,reprocessed_IPO_aligned_ST000046_20120613_neg_hilic_MCI_AD,neurological
ST000329,author_AN000525_MCD_FSGS,glomerular
ST000329,author_AN000525_MCD_Control,glomerular
ST000329,author_AN000525_FSGS_Control,glomerular
ST000329,reprocessed_IPO_aligned_ST000329_pos_MCD_FSGS,glomerular
ST000329,reprocessed_IPO_aligned_ST000329_pos_MCD_Control,glomerular
ST000329,reprocessed_IPO_aligned_ST000329_pos_FSGS_Control,glomerular
ST000046,author_AN000076_0_CN,neurological
ST000046,author_AN000076_2_MCI,neurological
ST000046,author_AN000076_1_AD,neurological
ST000046,reprocessed_IPO_aligned_ST000046_20120618_pos_c18_0_CN,neurological
ST000046,reprocessed_IPO_aligned_ST000046_20120618_pos_c18_2_MCI,neurological
ST000046,reprocessed_IPO_aligned_ST000046_20120618_pos_c18_1_AD,neurological
ST000046,reprocessed_IPO_aligned_ST000046_20120613_neg_hilic_0_CN,neurological
ST000046,reprocessed_IPO_aligned_ST000046_20120613_neg_hilic_2_MCI,neurological
ST000046,reprocessed_IPO_aligned_ST000046_20120613_neg_hilic_1_AD,neurological
ST000329,author_AN000525_0_Control,glomerular
ST000329,author_AN000525_2_FSGS,glomerular
ST000329,author_AN000525_1_MCD,glomerular
ST000329,reprocessed_IPO_aligned_ST000329_pos_0_Control,glomerular
ST000329,reprocessed_IPO_aligned_ST000329_pos_2_FSGS,glomerular
ST000329,reprocessed_IPO_aligned_ST000329_neg_1_MCD,glomerular
ST000355,author_AN000580,cancer
ST000356,author_AN000582,cancer
ST000385,author_AN000603_plasma,cancer
ST000385,author_AN000620_plasma,cancer
ST000385,reprocessed_IPO_aligned_ST000385_adc2_plasma,cancer
ST000385,reprocessed_IPO_aligned_ST000385_adc1_plasma,cancer
ST000385,reprocessed_IPO_aligned_ST000385_onebatch_plasma,cancer
ST000392,author_AN000628_plasma,cancer
ST000392,reprocessed_IPO_aligned_ST000392_plasma,cancer
ST000450,author_AN000705,other
ST000578,author_AN000888,infectious
ST000578,reprocessed_IPO_aligned_ST000578_AE,infectious
ST000608,author_AN000929,metabolic
ST000763,author_AN001201_Healthy_PAH,autoimmune
ST000763,author_AN001201_Healthy_Normal Pressures,autoimmune
ST000763,author_AN001201_Healthy_Borderline Pressures,autoimmune
ST000763,author_AN001201_Healthy_LowRisk,autoimmune
ST000763,author_AN001201_PAH_Normal Pressures,autoimmune
ST000763,author_AN001201_PAH_Borderline Pressures,autoimmune
ST000763,author_AN001201_PAH_LowRisk,autoimmune
ST000763,author_AN001201_Normal Pressures_Borderline Pressures,autoimmune
ST000763,author_AN001201_Normal Pressures_LowRisk,autoimmune
ST000763,author_AN001201_Borderline Pressures_LowRisk,autoimmune
ST000763,reprocessed_IPO_aligned_ST000763_untar_pos_Healthy_PAH,autoimmune
ST000763,reprocessed_IPO_aligned_ST000763_untar_pos_Healthy_Normal Pressures,autoimmune
ST000763,reprocessed_IPO_aligned_ST000763_untar_pos_Healthy_Borderline Pressures,autoimmune
ST000763,reprocessed_IPO_aligned_ST000763_untar_pos_Healthy_LowRisk,autoimmune
